provnum,state,market,cluster,provname,mdscensus,hrs_cna_ctr,hrs_lpn_ctr,hrs_rn_ctr,cna_ctr/census,lpn_ctr/census,rn_ctr/census,state_cna_ctr/census,state_lpn_ctr/census,state_rn_ctr/census,market_cna_ctr/census,market_lpn_ctr/census,market_rn_ctr/census,cna_above_state,ensign_cna_ctr/census,ensign_lpn_ctr/census,ensign_rn_ctr/census,lpn_above_state,rn_above_state,cna_above_market,lpn_above_market,rn_above_market,cna_above_ensign,lpn_above_ensign,rn_above_ensign,state_cna_diff,state_lpn_diff,state_rn_diff,market_cna_diff,market_lpn_diff,market_rn_diff,ensign_cna_diff,ensign_lpn_diff,ensign_rn_diff
065404,CO,Endura Market,Mile High Crush,SLOAN'S LAKE REHABILITATION CENTER,143.6279569892473,92.5,12.0,28.0,0.6440250348121641,0.0835491937053618,0.1949481186458442,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,True,True,True,True,True,True,True,0.5375861025364934,0.0333549630985204,0.1559342819117913,0.5147882665881987,0.057467180287035506,0.16464102039288428,0.5897588583373246,0.06464413633944491,0.18061939078116554
065265,CO,Endura Market,Mile High Crush,BERTHOUD CARE AND REHABILITATION,164.30430107526882,51.75,0.0,0.0,0.3149643658828688,0.0,0.0,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,True,False,False,True,False,False,0.2085254336071981,-0.0501942306068414,-0.0390138367340529,0.18572759765890332,-0.0260820134183263,-0.0303070982529599,0.26069818940802925,-0.018905057365916893,-0.014328727864678642
065321,CO,Endura Market,Rocky Mountain A.I.R.,ARVADA CARE AND REHABILITATION CENTER,137.16666666666666,22.25,0.0,6.5,0.1622114216281895,0.0,0.0473876063183475,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,True,True,False,True,True,False,True,0.0557724893525188,-0.0501942306068414,0.008373769584294602,0.03297465340422401,-0.0260820134183263,0.0170805080653876,0.10794524515334997,-0.018905057365916893,0.03305887845366886
065077,CO,Endura Market,Hat Trick,ENGLEWOOD POST ACUTE AND REHABILITATION,201.43763440860212,31.5,0.0,0.0,0.1563759428196245,0.0,0.0,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,True,False,False,True,False,False,0.0499370105439538,-0.0501942306068414,-0.0390138367340529,0.02713917459565901,-0.0260820134183263,-0.0303070982529599,0.10210976634478497,-0.018905057365916893,-0.014328727864678642
065222,CO,Endura Market,Rocky Mountain A.I.R.,BOULDER CANYON HEALTH AND REHABILITATION,266.9903225806452,33.75,0.0,12.83,0.1264090760810468,0.0,0.0480541761813283,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,True,False,False,True,True,False,True,0.019970143805376095,-0.0501942306068414,0.009040339447275399,-0.0028276921429186974,-0.0260820134183263,0.017747077928368396,0.07214289960620726,-0.018905057365916893,0.033725448316649656
065417,CO,Endura Market,Southern Peaks,"HEALTHCARE RESORT OF COLORADO SPRINGS, THE",267.35268817204303,30.17,7.5,0.0,0.1128471914992881,0.0280528318277978,0.0,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,True,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,True,False,True,True,False,0.006408259223617402,-0.022141398779043604,-0.0390138367340529,-0.01638957672467739,0.001970818409471501,-0.0303070982529599,0.05858101502444856,0.009147774461880906,-0.014328727864678642
065318,CO,Endura Market,Rocky Mountain A.I.R.,IRONDALE POST ACUTE,242.22795698924733,24.0,20.4,0.0,0.0990802230192833,0.0842181895663908,0.0,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,False,False,True,False,True,True,False,-0.0073587092563873885,0.03402395895954939,-0.0390138367340529,-0.03015654520468218,0.058136176148064496,-0.0303070982529599,0.04481404654444377,0.0653131322004739,-0.014328727864678642
065230,CO,Endura Market,Rocky Mountain A.I.R.,SOUTH VALLEY POST ACUTE REHABILITATION,249.06236559139785,21.95,8.45,0.0,0.0881305368953667,0.0339272454107448,0.0,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,True,False,True,True,False,-0.018308395380303988,-0.016266985196096602,-0.0390138367340529,-0.04110623132859878,0.007845231992418503,-0.0303070982529599,0.03386436042052717,0.015022188044827908,-0.014328727864678642
065108,CO,Endura Market,Mile High Crush,"VILLAS AT SUNNY ACRES, THE",405.194623655914,24.0,23.75,23.05,0.0592307957678641,0.0586138083119488,0.0568862434353861,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,True,True,False,True,True,True,True,True,-0.04720813650780659,0.008419577705107394,0.0178724067013332,-0.07000597245610138,0.0325317948936225,0.026579145182426198,0.004964619293024566,0.03970875094603191,0.04255751557070746
065113,CO,Endura Market,Southern Peaks,MEDALLION POST ACUTE REHABILITATION,175.93333333333334,8.1,6.22,5.97,0.0460401667298219,0.0353543008715422,0.0339333080712391,0.1064389322756707,0.0501942306068414,0.0390138367340529,0.1292367682239655,0.0260820134183263,0.0303070982529599,False,0.054266176474839535,0.018905057365916893,0.014328727864678642,False,False,False,True,True,False,True,True,-0.0603987655458488,-0.014839929735299205,-0.005080528662813798,-0.0831966014941436,0.0092722874532159,0.0036262098182791996,-0.008226009745017637,0.016449243505625304,0.01960458020656046
